tag,a_stage_lin,a_both_lin,a_stage_cat,a_both_cat,d_lin,d_lin_lo,d_lin_hi,d_cat,d_cat_lo,d_cat_hi,lrt_cat,p_cat
"MIMIC continuous AG (OOF), stage A merged into B",0.5888169846159972,0.7282329549130762,0.5892574518596676,0.729227738984586,0.13941597029707897,0.11650002932580854,0.16436049548139747,0.13997028712491844,0.1153107579472606,0.16067711307550248,329.87727584838785,1.0221552333424335e-73
"MIMIC integer card, stage A merged into B",0.5888169846159972,0.7282929903495369,0.5892574518596676,0.7308182114541392,0.1394760057335397,0.11698345926838727,0.1629338186046034,0.14156075959447156,0.11685199620369259,0.1617234250500011,334.86175051708096,8.392950681777019e-75
"MIMIC continuous AG, no-arrest-rule stage",0.5633806234229033,0.7283156980534832,0.5633806234229033,0.7292414258198414,0.16493507463057988,0.1392282530201021,0.19227590867434496,0.16586080239693812,0.13909458838158717,0.18986537889766844,377.91137937182793,3.5456023805413394e-84
eICU continuous AG (frozen),0.6132605717820688,0.7542044098802527,0.6303168220582387,0.754946754451858,0.1409438380981839,0.10365466861361589,0.17809024637203935,0.1246299323936193,0.09020948802696446,0.16016683388759834,128.898653875832,7.13711219738241e-30
eICU integer card (deployment rule),0.6132605717820688,0.7671247404003357,0.6303168220582387,0.7657681940700808,0.1538641686182669,0.11818057692290278,0.19178092705974206,0.1354513720118421,0.10175341625464271,0.17406572036472157,143.09520165216486,5.602934843289499e-33
