decile,pred,obs,n
0,0.0849414702005111,0.1037037037037037,270
1,0.14936715387309799,0.13382899628252787,269
2,0.1938834607386529,0.21189591078066913,269
3,0.2358782187999297,0.21481481481481482,270
4,0.2777812223219003,0.26394052044609667,269
5,0.3227815151130335,0.3048327137546468,269
6,0.3802155224554761,0.40370370370370373,270
7,0.4445399387955771,0.44981412639405205,269
8,0.5335515352664758,0.5427509293680297,269
9,0.6878055198364602,0.6814814814814815,270
