decile,pred,obs,n
0,0.08070431948114022,0.05714285714285714,105
1,0.13301587644783905,0.08571428571428572,105
2,0.1691641857677933,0.20192307692307693,104
3,0.2038695581983173,0.1619047619047619,105
4,0.23898228584752035,0.23809523809523808,105
5,0.2770078972698006,0.23076923076923078,104
6,0.31990509695485303,0.3904761904761905,105
7,0.37684549971116776,0.33653846153846156,104
8,0.47285235149853766,0.5428571428571428,105
9,0.6424135447954082,0.6666666666666666,105
