threshold,cs_mort6_ag,bosma2_recal,bosma2_published,treat_all
0.05,0.27329792370835343,0.27463919738183373,0.24051719512849404,0.27463919738183373
0.060000000000000005,0.2639512438458369,0.2669225930986618,0.2361680438978897,0.2669225930986618
0.07,0.25593809257615113,0.2586673681672202,0.2317253625332939,0.2590400403362818
0.08000000000000002,0.2473075388911049,0.25103044807871294,0.22718610113903293,0.25098612773124135
0.09000000000000001,0.2399435426958363,0.24322568359265606,0.22254707575808497,0.2427552060579583
0.1,0.23026390304677768,0.23524747989579795,0.217804960924227,0.23434137501415786
0.11000000000000001,0.22369973313175046,0.22708999072260594,0.165698839753061,0.22573846911544054
0.12000000000000001,0.21592067463627096,0.22208321749606152,0.16291353906032807,0.21694004262811598
0.13,0.20663878050780932,0.21474685694869183,0.1600642084666128,0.20793935346292192
0.14,0.20034136974610622,0.20723988336533677,0.15714861437071806,0.19872934594504893
0.15000000000000002,0.19505906338070392,0.19955627510943214,0.1541644180608023,0.18930263236793182
0.16000000000000003,0.19028202514441045,0.19168972379981553,0.15110916945779332,0.17965147322945482
0.17000000000000004,0.18187735652088474,0.18363361703695513,0.14798030040651905,0.16976775603944824
0.18000000000000005,0.17732030531314485,0.17570423410656125,0.1447751174759454,0.15964297257651466
0.19,0.16676105259183754,0.16985691093744104,0.14149079422609834,0.14926819446017542
0.2,0.16131498470948014,0.16386340468909277,0.1381243628950051,0.1386340468909276
0.21000000000000002,0.14942128285526263,0.1577181641053433,0.13467270545426394,0.127730680395876
0.22000000000000003,0.14822656107059776,0.15141535325021566,0.13113254397658067,0.11654774040095134
0.23000000000000004,0.14009028687927766,0.14494883302222752,0.12750043025272384,0.10507433443213254
0.24000000000000005,0.13337625409088472,0.13831214120929236,0.07790117495573796,0.09329899672729217
0.25000000000000006,0.13081889228678217,0.13149847094801223,0.0764525993883792,0.08120965001698938
0.26000000000000006,0.1272556960630355,0.12450064743642725,0.07496487313001074,0.06879356420640817
0.27,0.12007596386131007,0.11731110273274406,0.07343638724812533,0.0560373116612905
0.28,0.11479216219277379,0.10782648091516592,0.07186544342507645,0.04292671876769727
0.29000000000000004,0.11050810469339993,0.10355917359406182,0.07025024766335011,0.029446813398228244
0.30000000000000004,0.11154798310761611,0.09916994320664044,0.06858890345128876,0.015581767875345764
0.31000000000000005,0.10319254236286543,0.09465348875001844,0.06687940433452996,0.0013148369749884647
0.32000000000000006,0.09803921568627448,0.09000419739761345,0.06511962583198415,-0.01337170954008532
0.33,0.09350799519223454,0.08521612122871877,0.06330731662786981,-0.028496660428743215
0.34,0.08275414697433045,0.08028295184258485,0.061440088963024726,-0.04407994316251207
0.35000000000000003,0.07802085783737159,0.07519799262918528,0.05951540813926134,-0.060142711518858416
0.36000000000000004,0.06746941896024462,0.06995412844036696,0.057530581039755335,-0.07670744138634061
0.37000000000000005,0.06619419769266861,0.06454379237253852,0.05548274355613803,-0.09379803569406031
0.38000000000000006,0.0657656768932294,0.05895892933478014,0.05336884679885565,-0.11143993949557746
0.39000000000000007,0.06343476880399725,0.053190956033488695,0.05118564195117058,-0.12966026637255418
0.4000000000000001,0.060482500849473306,0.04892966360856266,0.04892966360856266,-0.14848793747876343
0.4100000000000001,0.05879507247879191,0.04659721142383244,0.04659721142383244,-0.16795383472416625
0.42000000000000004,0.05578403458821048,0.0441843298534219,0.0441843298534219,-0.18809096980561718
0.43000000000000005,0.0505928429636783,0.041686785771768854,0.041686785771768854,-0.20893467103027719
0.44000000000000006,0.04579874763361001,0.03910004368719963,0.03910004368719963,-0.2305227901558179
0.45000000000000007,0.04475952182374198,0.03641923825410061,0.03641923825410061,-0.2528959317950146
0.4600000000000001,0.04126552648469058,0.03363914373088682,0.01653641408993091,-0.276097708309737
0.4700000000000001,0.03738964860654318,0.030754139980381942,0.016002154136133706,-0.30017502356086423
0.4800000000000001,0.035677879714576935,0.027758174547165337,0.015447345722575076,-0.32517838939857324
0.49000000000000005,0.03457856129199896,0.024644720273430468,0.014870780116327878,-0.35116227938678024
0.5000000000000001,0.03160040774719672,0.021406727828746128,0.01427115188583078,-0.3781855249745162
0.5100000000000001,0.027647756350246494,0.01803657242713594,0.013647049033680744,-0.4063117601780777
0.5200000000000001,0.027947672443085256,0.014525993883791985,0.012996941896024457,-0.4356099218484544
0.5300000000000001,0.019129416357602944,0.010866029019454687,0.012319170624850884,-0.46615481380267687
0.5400000000000001,0.020476000531844146,0.011611931037539325,0.011611931037539325,-0.49802774453751775
0.5500000000000002,0.019481254955261047,0.010873258579680588,0.010873258579680588,-0.5313172499716848
0.5600000000000002,0.021777407098507992,0.01010101010101009,0.01010101010101009,-0.5661199147437687
0.5700000000000002,0.018893867197686244,0.009292843088447938,0.009292843088447938,-0.6025413081099028
0.5800000000000002,0.013106159895150689,0.008446191932430451,0.008446191932430451,-0.6406970535410911
0.5900000000000002,0.0140473881803038,0.007558240720021866,0.007558240720021866,-0.6807140548469712
0.6000000000000002,0.01274209989806318,0.006625891946992847,0.006625891946992847,-0.7227319062181458
0.6100000000000001,0.008573146187825075,0.005645730416372608,0.005645730416372608,-0.7669045191980978
0.6200000000000001,0.011374000751113247,0.0046139814367723506,0.0046139814367723506,-0.8134020065454161
0.6300000000000001,0.009752872138193227,0.0035264622420585617,0.0035264622420585617,-0.862412871587184
0.6400000000000001,0.008381470155170451,0.002378525314305116,0.002378525314305116,-0.914146562464606
0.6500000000000001,0.005388087956895285,0.001164991990680049,0.001164991990680049,-0.9688364642493091
0.6600000000000001,0.004557174551777888,-0.00011992564609943773,-0.00011992564609943773,-1.0267434190801712
0.6700000000000002,0.0007722484786704849,0.0,-0.0014827170790473708,-1.088159886325025
0.6800000000000002,-1.734723475976807e-17,0.0,-0.00293068297655456,-1.1534148827726822
0.6900000000000002,-0.003880174936700549,0.0,-0.004472066028739622,-1.2228798789911557
0.7000000000000002,-0.0033978933061502015,0.0,-0.006116207951070363,-1.2969758749575275
