decile,pred,obs,n
0,0.08823870488397517,0.08518518518518518,270
1,0.14983169265009896,0.12267657992565056,269
2,0.19642601185216835,0.1895910780669145,269
3,0.23698466365501497,0.22592592592592592,270
4,0.2765130313119203,0.3048327137546468,269
5,0.3160441729587536,0.32342007434944237,269
6,0.3633030155839479,0.34444444444444444,270
7,0.4294180636268682,0.48698884758364314,269
8,0.5202808142676414,0.5353159851301115,269
9,0.73441375759351,0.6925925925925925,270
