score,n,obs
0,89,0.06741573033707865
1,164,0.09146341463414634
2,270,0.1
3,344,0.2063953488372093
4,437,0.2562929061784897
5,416,0.33413461538461536
6,410,0.44146341463414634
7,323,0.4984520123839009
8,215,0.6093023255813953
9,174,0.7011494252873564
10,117,0.8547008547008547
11,72,0.8055555555555556
12,46,0.8913043478260869
13,11,0.9090909090909091
14,12,0.9166666666666666
15,3,1.0
