Characteristic,Survivors (n=1222),Non-survivors (n=644),P-value
"Age, years",66.0 (55.0-75.0),71.0 (62.0-79.0),<0.001
"Lactate, mmol/L",1.8 (1.3-3.3),4.3 (1.9-8.9),<0.001
"Anion gap, mmol/L",10.0 (7.5-12.6),13.0 (9.0-17.6),<0.001
"Urine output, mL/kg/h",0.8 (0.3-1.3),0.3 (0.1-0.7),<0.001
"Blood urea nitrogen, mg/dL",27.0 (17.0-43.0),34.0 (22.0-50.0),<0.001
"Red cell distribution width, %",14.9 (13.9-16.6),15.4 (14.2-17.5),<0.001
"Out-of-hospital cardiac arrest, n (%)",119 (9.7),160 (24.8),<0.001
